2021-08-03 12:54:35,090 [INFO] | {'bid': 534.3, 'ask': 534.47}
2021-08-03 12:54:35,651 [INFO] | {'bid': 233.96, 'ask': 234.08}
2021-08-03 12:54:35,690 [INFO] | {'bid': 233.96, 'ask': 234.13}
2021-08-03 12:54:35,727 [INFO] | {'bid': 157.32, 'ask': 157.44}
2021-08-03 12:54:35,736 [INFO] | {'bid': 157.32, 'ask': 157.44}
2021-08-03 12:54:35,748 [INFO] | {'bid': 157.32, 'ask': 157.44}
2021-08-03 12:54:35,759 [INFO] | {'bid': 157.41, 'ask': 157.44}
2021-08-03 12:54:35,909 [INFO] | {'bid': 38588.35, 'ask': 38591.7}
2021-08-03 12:54:35,917 [INFO] | {'bid': 38587.54, 'ask': 38591.7}
2021-08-03 12:54:35,921 [INFO] | {'bid': 38587.17, 'ask': 38591.7}
2021-08-03 12:54:35,955 [INFO] | {'bid': 138.53, 'ask': 138.61}
2021-08-03 12:54:35,971 [INFO] | {'bid': 138.59, 'ask': 138.61}
2021-08-03 12:54:35,997 [INFO] | {'bid': 0.06386, 'ask': 0.06388}
2021-08-03 12:54:36,008 [INFO] | {'bid': 157.41, 'ask': 157.46}
2021-08-03 12:54:36,018 [INFO] | {'bid': 157.41, 'ask': 157.49}
2021-08-03 12:54:36,032 [INFO] | {'bid': 157.41, 'ask': 157.52}
2021-08-03 12:54:36,044 [INFO] | {'bid': 157.41, 'ask': 157.54}
2021-08-03 12:54:36,057 [INFO] | {'bid': 157.41, 'ask': 157.55}
2021-08-03 12:54:36,062 [INFO] | {'bid': 392.94, 'ask': 393.2}
2021-08-03 12:54:36,068 [INFO] | {'bid': 157.41, 'ask': 157.57}
2021-08-03 12:54:36,073 [INFO] | {'bid': 392.94, 'ask': 393.22}
2021-08-03 12:54:36,081 [INFO] | {'bid': 157.41, 'ask': 157.58}
2021-08-03 12:54:36,085 [INFO] | {'bid': 392.94, 'ask': 393.24}
2021-08-03 12:54:36,093 [INFO] | {'bid': 157.41, 'ask': 157.59}
2021-08-03 12:54:36,098 [INFO] | {'bid': 138.59, 'ask': 138.63}
2021-08-03 12:54:36,109 [INFO] | {'bid': 138.59, 'ask': 138.64}
2021-08-03 12:54:36,122 [INFO] | {'bid': 138.59, 'ask': 138.68}
2021-08-03 12:54:36,123 [INFO] | {'bid': 325.593, 'ask': 325.641}
2021-08-03 12:54:36,145 [INFO] | {'bid': 325.593, 'ask': 325.594}
2021-08-03 12:54:36,619 [INFO] | {'bid': 534.42, 'ask': 534.47}
2021-08-03 12:54:36,629 [INFO] | {'bid': 110.94, 'ask': 111.0}
2021-08-03 12:54:36,643 [INFO] | {'bid': 110.94, 'ask': 111.01}
2021-08-03 12:54:37,644 [INFO] | {'bid': 138.63, 'ask': 138.68}
2021-08-03 12:54:37,658 [INFO] | {'bid': 138.63, 'ask': 138.64}
2021-08-03 12:54:37,726 [INFO] | {'bid': 233.96, 'ask': 234.08}
2021-08-03 12:54:37,737 [INFO] | {'bid': 233.87, 'ask': 234.08}
2021-08-03 12:54:37,963 [INFO] | {'bid': 38587.17, 'ask': 38589.31}
2021-08-03 12:54:37,977 [INFO] | {'bid': 38587.17, 'ask': 38589.31}
2021-08-03 12:54:38,065 [INFO] | {'bid': 2836.5, 'ask': 2839.3}
2021-08-03 12:54:38,093 [INFO] | {'bid': 0.06386, 'ask': 0.06388}
2021-08-03 12:54:38,104 [INFO] | {'bid': 0.06384, 'ask': 0.06388}
2021-08-03 12:54:38,124 [INFO] | {'bid': 392.98, 'ask': 393.24}
2021-08-03 12:54:38,128 [INFO] | {'bid': 157.5, 'ask': 157.59}
2021-08-03 12:54:38,152 [INFO] | {'bid': 392.98, 'ask': 393.22}
2021-08-03 12:54:38,179 [INFO] | {'bid': 325.593, 'ask': 325.594}
2021-08-03 12:54:38,183 [INFO] | {'bid': 157.5, 'ask': 157.61}
2021-08-03 12:54:38,188 [INFO] | {'bid': 325.593, 'ask': 325.594}
2021-08-03 12:54:38,214 [INFO] | {'bid': 325.593, 'ask': 325.594}
2021-08-03 12:54:38,702 [INFO] | {'bid': 110.94, 'ask': 110.99}
2021-08-03 12:54:38,724 [INFO] | {'bid': 534.42, 'ask': 534.45}
2021-08-03 12:54:38,735 [INFO] | {'bid': 534.38, 'ask': 534.45}
2021-08-03 12:54:38,749 [INFO] | {'bid': 534.35, 'ask': 534.45}
2021-08-03 12:54:39,732 [INFO] | {'bid': 138.59, 'ask': 138.64}
